"plate_well","plate","well","identifier","hit","welltype","create_date","fp","fp_1","fi","fi_1","p","p_1","s","s_1"
"1799P23","1799","P23","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799P23","0","P","2015-08-31 19:12","193.2","192.6","33373562.0","32649879.0","14536892.0","14223811.0","4299778.0","4202257.0"
"1799O23","1799","O23","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799O23","0","P","2015-08-31 19:12","207.3","193.8","31771337.0","32041686.0","13785907.0","13954433.0","4199523.0","4132820.0"
"1799N23","1799","N23","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799N23","0","P","2015-08-31 19:12","200.7","201.7","30260395.0","30228406.0","13154331.0","13136861.0","3951733.0","3954684.0"
"1799M23","1799","M23","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799M23","0","P","2015-08-31 19:12","206.5","200.8","30042806.0","30755329.0","13038725.0","13369150.0","3965356.0","4017029.0"
"1799L23","1799","L23","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799L23","0","P","2015-08-31 19:12","202.9","203.2","30759016.0","30756435.0","13363009.0","13360584.0","4032998.0","4035267.0"
"1799K23","1799","K23","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799K23","0","P","2015-08-31 19:12","209.1","198.7","31020080.0","31250772.0","13453347.0","13592104.0","4113386.0","4066564.0"
"1799J23","1799","J23","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799J23","0","P","2015-08-31 19:12","207.2","200.4","30533142.0","31106226.0","13249019.0","13523076.0","4035104.0","4060074.0"
"1799I23","1799","I23","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799I23","0","P","2015-08-31 19:12","201.2","206.1","31271444.0","31068609.0","13591868.0","13485682.0","4087708.0","4097245.0"
"1799G23","1799","G23","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799G23","0","P","2015-08-31 19:12","212.9","203.9","30222368.0","30390844.0","13093597.0","13199218.0","4035174.0","3992408.0"
"1799F23","1799","F23","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799F23","0","P","2015-08-31 19:12","203.3","199.3","31057276.0","31355407.0","13490966.0","13635381.0","4075344.0","4084645.0"
"1799D23","1799","D23","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799D23","0","P","2015-08-31 19:12","207.2","206.7","28927185.0","28959642.0","12552333.0","12567925.0","3822519.0","3823792.0"
"1799C23","1799","C23","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799C23","0","P","2015-08-31 19:12","202.9","205.4","29943684.0","29990069.0","13008836.0","13019890.0","3926012.0","3950289.0"
"1799B23","1799","B23","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799B23","0","P","2015-08-31 19:12","207.4","201.2","31307966.0","31436041.0","13584511.0","13663433.0","4138944.0","4109175.0"
"1799A23","1799","A23","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799A23","0","P","2015-08-31 19:12","204.6","199.3","31601590.0","32450103.0","13722553.0","14111418.0","4156484.0","4227267.0"
"1798P23","1798","P23","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1798P23","0","P","2015-08-31 19:12","192.6","188.8","32037772.0","32153800.0","13957196.0","14021864.0","4123380.0","4110072.0"
"1798K23","1798","K23","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1798K23","0","P","2015-08-31 19:12","207.2","206.3","31009119.0","31006752.0","13455671.0","13457836.0","4097777.0","4091080.0"
"1798J23","1798","J23","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1798J23","0","P","2015-08-31 19:12","201.7","200.1","30176230.0","29996459.0","13113994.0","13041415.0","3948242.0","3913629.0"
